0:0:0:0:0:0:0:1 - - [30/Dec/2022:16:11:38 +0900] "GET /StudyHTML/css1230/test7.html HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [30/Dec/2022:16:11:38 +0900] "GET /StudyHTML/images/mov12.jpg HTTP/1.1" 200 30533
0:0:0:0:0:0:0:1 - - [30/Dec/2022:16:11:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:16:11:56 +0900] "GET /StudyHTML/css1230/test7.html HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [30/Dec/2022:16:11:56 +0900] "GET /StudyHTML/images/mov12.jpg HTTP/1.1" 200 30533
0:0:0:0:0:0:0:1 - - [30/Dec/2022:16:11:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:16:12:10 +0900] "GET /StudyHTML/css1230/test7.html HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [30/Dec/2022:16:12:10 +0900] "GET /StudyHTML/images/mov12.jpg HTTP/1.1" 200 30533
0:0:0:0:0:0:0:1 - - [30/Dec/2022:16:12:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:16:13:32 +0900] "GET /StudyHTML/css1230/test7.html HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [30/Dec/2022:16:13:32 +0900] "GET /StudyHTML/images/mov12.jpg HTTP/1.1" 200 30533
0:0:0:0:0:0:0:1 - - [30/Dec/2022:16:13:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:16:13:40 +0900] "GET /StudyHTML/css1230/test7.html HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [30/Dec/2022:16:13:40 +0900] "GET /StudyHTML/images/mov12.jpg HTTP/1.1" 200 30533
0:0:0:0:0:0:0:1 - - [30/Dec/2022:16:13:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:16:14:00 +0900] "GET /StudyHTML/css1230/test7.html HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [30/Dec/2022:16:14:00 +0900] "GET /StudyHTML/images/mov12.jpg HTTP/1.1" 200 30533
0:0:0:0:0:0:0:1 - - [30/Dec/2022:16:14:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
